COD. UF,UF,CODMUN7,NOME DO MUNICÍPIO,POP20,POP21,POP22
16,AP,1600600,Santana,123096,124808,114995
16,AP,1600709,Tartarugalzinho,17769,18217,10511
16,AP,1600808,Vitória do Jari,16254,16572,11447
17,TO,1700251,Abreulândia,2594,2609,2463
17,TO,1700301,Aguiarnópolis,6892,7049,4787
17,TO,1700350,Aliança do Tocantins,5346,5303,4932
17,TO,1700400,Almas,6979,6905,9044
17,TO,1700707,Alvorada,8396,8381,8821
17,TO,1701002,Ananás,9492,9435,10368
17,TO,1701051,Angico,3454,3475,3062
17,TO,1701101,Aparecida do Rio Negro,4848,4901,4965
17,TO,1701309,Aragominas,5731,5705,6914
17,TO,1701903,Araguacema,7155,7223,5913
17,TO,1702000,Araguaçu,8467,8418,8666
17,TO,1702109,Araguaína,183381,186245,186867
17,TO,1702158,Araguanã,5793,5856,4316
17,TO,1702208,Araguatins,36170,36573,31719
17,TO,1702307,Arapoema,6616,6590,5443
17,TO,1702406,Arraias,10534,10502,10253
17,TO,1702554,Augustinópolis,18643,18870,17471
17,TO,1702703,Aurora do Tocantins,3783,3809,3338
17,TO,1702901,Axixá do Tocantins,9787,9817,10267
17,TO,1703008,Babaçulândia,10666,10668,8218
17,TO,1703057,Bandeirantes do Tocantins,3592,3631,3548
17,TO,1703073,Barra do Ouro,4632,4673,4643
17,TO,1703107,Barrolândia,5651,5669,4875
17,TO,1703206,Bernardo Sayão,4448,4439,4217
17,TO,1703305,Bom Jesus do Tocantins,5008,5120,4087
17,TO,1703602,Brasilândia do Tocantins,2211,2221,1947
17,TO,1703701,Brejinho de Nazaré,5519,5540,4753
17,TO,1703800,Buriti do Tocantins,11497,11644,10346
17,TO,1703826,Cachoeirinha,2284,2293,1964
17,TO,1703842,Campos Lindos,10312,10505,8661
17,TO,1703867,Cariri do Tocantins,4441,4499,3555
17,TO,1703883,Carmolândia,2603,2627,2203
17,TO,1703891,Carrasco Bonito,4130,4165,3343
17,TO,1703909,Caseara,5442,5514,4764
17,TO,1704105,Centenário,2936,2966,2133
17,TO,1704600,Chapada de Areia,1410,1415,1358
17,TO,1705102,Chapada da Natividade,3331,3330,3118
17,TO,1705508,Colinas do Tocantins,35851,36271,33967
17,TO,1705557,Combinado,4861,4870,4751
17,TO,1705607,Conceição do Tocantins,4087,4070,3891
17,TO,1706001,Couto Magalhães,5639,5690,5254
17,TO,1706100,Cristalândia,7278,7268,6331
17,TO,1706258,Crixás do Tocantins,1735,1749,1411
17,TO,1706506,Darcinópolis,6174,6250,6357
17,TO,1707009,Dianópolis,22424,22704,17658
17,TO,1707108,Divinópolis do Tocantins,6943,6986,7065
17,TO,1707207,Dois Irmãos do Tocantins,7185,7173,6735
17,TO,1707306,Dueré,4686,4686,4284
17,TO,1707405,Esperantina,11139,11280,7510
17,TO,1707553,Fátima,3830,3824,3445
17,TO,1707652,Figueirópolis,5243,5222,5185
17,TO,1707702,Filadélfia,8874,8892,10590
17,TO,1708205,Formoso do Araguaia,18399,18358,20471
17,TO,1708254,Tabocão,2602,2615,3458
17,TO,1708304,Goianorte,5130,5136,4779
17,TO,1709005,Goiatins,13095,13169,12798
17,TO,1709302,Guaraí,26165,26403,26444
17,TO,1709500,Gurupi,87545,88428,83817
17,TO,1709807,Ipueiras,2052,2088,1597
17,TO,1710508,Itacajá,7452,7471,6780
17,TO,1710706,Itaguatins,5832,5801,5187
17,TO,1710904,Itapiratins,3795,3814,3936
17,TO,1711100,Itaporã do Tocantins,2420,2412,2407
17,TO,1711506,Jaú do Tocantins,3878,3906,3475
17,TO,1711803,Juarina,2184,2174,2240
17,TO,1711902,Lagoa da Confusão,13676,13989,16117
17,TO,1711951,Lagoa do Tocantins,4393,4470,3501
17,TO,1712009,Lajeado,3167,3199,3652
17,TO,1712157,Lavandeira,1954,1984,1625
17,TO,1712405,Lizarda,3733,3727,2994
17,TO,1712454,Luzinópolis,3154,3200,2989
17,TO,1712504,Marianópolis do Tocantins,5254,5332,4460
17,TO,1712702,Mateiros,2729,2773,2076
17,TO,1712801,Maurilândia do Tocantins,3448,3470,3234
17,TO,1713205,Miracema do Tocantins,17936,17628,19561
17,TO,1713304,Miranorte,13493,13551,13027
17,TO,1713601,Monte do Carmo,8066,8182,5874
17,TO,1713700,Monte Santo do Tocantins,2295,2311,2290
17,TO,1713809,Palmeiras do Tocantins,6745,6830,5359
17,TO,1713957,Muricilândia,3587,3623,3722
17,TO,1714203,Natividade,9250,9256,8643
17,TO,1714302,Nazaré,3834,3772,4664
17,TO,1714880,Nova Olinda,11917,12014,10353
17,TO,1715002,Nova Rosalândia,4304,4348,3334
17,TO,1715101,Novo Acordo,4397,4450,3828
17,TO,1715150,Novo Alegre,2332,2332,1845
17,TO,1715259,Novo Jardim,2745,2768,2235
17,TO,1715507,Oliveira de Fátima,1118,1124,1172
17,TO,1715705,Palmeirante,6131,6234,4947
17,TO,1715754,Palmeirópolis,7676,7694,7262
17,TO,1716109,Paraíso do Tocantins,51891,52521,51494
17,TO,1716208,Paranã,10437,10426,10492
17,TO,1716307,Pau D'Arco,4867,4885,4017
17,TO,1716505,Pedro Afonso,13773,13964,14675
17,TO,1716604,Peixe,11873,11996,9431
17,TO,1716653,Pequizeiro,5512,5546,4893
17,TO,1716703,Colméia,8141,8078,8476
17,TO,1717008,Pindorama do Tocantins,4430,4414,4128
17,TO,1717206,Piraquê,3033,3038,2278
17,TO,1717503,Pium,7743,7830,7132
17,TO,1717800,Ponte Alta do Bom Jesus,4591,4586,4222
17,TO,1717909,Ponte Alta do Tocantins,8116,8192,7284
17,TO,1718006,Porto Alegre do Tocantins,3170,3200,2869
17,TO,1718204,Porto Nacional,53316,53618,71101
17,TO,1718303,Praia Norte,8498,8563,8808
17,TO,1718402,Presidente Kennedy,3676,3668,2963
17,TO,1718451,Pugmil,2717,2746,2185
17,TO,1718501,Recursolândia,4342,4389,3380
17,TO,1718550,Riachinho,4684,4723,3962
17,TO,1718659,Rio da Conceição,2171,2211,1747
17,TO,1718709,Rio dos Bois,2856,2879,2737
17,TO,1718758,Rio Sono,6488,6498,5600
17,TO,1718808,Sampaio,4794,4876,4203
17,TO,1718840,Sandolândia,3373,3371,4631
17,TO,1718865,Santa Fé do Araguaia,7595,7678,7919
17,TO,1718881,Santa Maria do Tocantins,3486,3537,2557
17,TO,1718899,Santa Rita do Tocantins,2386,2407,2177
17,TO,1718907,Santa Rosa do Tocantins,4846,4864,4701
17,TO,1719004,Santa Tereza do Tocantins,2897,2928,2715
17,TO,1720002,Santa Terezinha do Tocantins,2530,2530,2560
17,TO,1720101,São Bento do Tocantins,5391,5457,5387
17,TO,1720150,São Félix do Tocantins,1598,1610,1780
17,TO,1720200,São Miguel do Tocantins,12294,12445,14103
17,TO,1720259,São Salvador do Tocantins,3094,3106,2481
17,TO,1720309,São Sebastião do Tocantins,4852,4898,4100
17,TO,1720499,São Valério,3904,3848,4399
17,TO,1720655,Silvanópolis,5428,5452,5126
17,TO,1720804,Sítio Novo do Tocantins,8997,8965,10830
17,TO,1720853,Sucupira,1986,2007,1576
